Group,SampleID,richness,Depth,ROV,Core.type,Day,Habitat,Sampling,Samples,Samples.1,Samples.2,SampleIDnew,ROVDepth,Methane,Phosphate,Sulfide,Sulfate,Ammonium,d15N,d13CV,DIC,C13Methane,meanrichness
16S,D515ROV1LPC.0,815.2734869438095,0,ROV1,LPC,D515,mussel,porewater,515ROV01LPC-0, ROVO1-LPC-0 ,515ROV01LPC-0,D515ROV1LPC0,ROV10,19681.166666666668,0.53,0.44499999999999995,2114,25.833333333333332,21.2,-33.04,8.79,-65.09,1160.8972117091844
16S,D522ROV1PC202.0,2620.376058369298,0,ROV1,PC,D522,sea_anemone,fridge,515ROV01LPC-0, ROVO1-LPC-0 ,515ROV01LPC-0,D515ROV1LPC0,ROV10,19681.166666666668,0.53,0.44499999999999995,2114,25.833333333333332,21.2,-33.04,8.79,-65.09,1160.8972117091844
16S,D522ROV1PC205.0,1317.3094237000064,0,ROV1,PC,D522,thintubeworm,incubation,515ROV01LPC-0, ROVO1-LPC-0 ,515ROV01LPC-0,D515ROV1LPC0,ROV10,19681.166666666668,0.53,0.44499999999999995,2114,25.833333333333332,21.2,-33.04,8.79,-65.09,1160.8972117091844
16S,D522ROV1PC201.0,1964.262590869071,0,ROV1,PC,D522,sea_anemone,porewater,515ROV01LPC-0, ROVO1-LPC-0 ,515ROV01LPC-0,D515ROV1LPC0,ROV10,19681.166666666668,0.53,0.44499999999999995,2114,25.833333333333332,21.2,-33.04,8.79,-65.09,1160.8972117091844
16S,D522ROV1PC203.0,1629.058767962311,0,ROV1,PC,D522,thintubeworm_mat,porewater,515ROV01LPC-0, ROVO1-LPC-0 ,515ROV01LPC-0,D515ROV1LPC0,ROV10,19681.166666666668,0.53,0.44499999999999995,2114,25.833333333333332,21.2,-33.04,8.79,-65.09,1160.8972117091844
16S,D522ROV1LPC1.0,1095.9109317183247,0,ROV1,LPC,D522,thintubeworm,porewater,515ROV01LPC-0, ROVO1-LPC-0 ,515ROV01LPC-0,D515ROV1LPC0,ROV10,19681.166666666668,0.53,0.44499999999999995,2114,25.833333333333332,21.2,-33.04,8.79,-65.09,1160.8972117091844
16S,D522ROV1LPC2.0,817.3078304130449,0,ROV1,LPC,D522,thintubeworm,porewater,515ROV01LPC-0, ROVO1-LPC-0 ,515ROV01LPC-0,D515ROV1LPC0,ROV10,19681.166666666668,0.53,0.44499999999999995,2114,25.833333333333332,21.2,-33.04,8.79,-65.09,1160.8972117091844
16S,D515ROV1PC201.0,1471.4875567221106,0,ROV1,PC,D515,mussel,porewater,515ROV01LPC-0, ROVO1-LPC-0 ,515ROV01LPC-0,D515ROV1LPC0,ROV10,19681.166666666668,0.53,0.44499999999999995,2114,25.833333333333332,21.2,-33.04,8.79,-65.09,1160.8972117091844
16S,D522ROV1PC204.0,1539.838190372985,0,ROV1,PC,D522,thintubeworm,fridge,515ROV01LPC-0, ROVO1-LPC-0 ,515ROV01LPC-0,D515ROV1LPC0,ROV10,19681.166666666668,0.53,0.44499999999999995,2114,25.833333333333332,21.2,-33.04,8.79,-65.09,1160.8972117091844
16S,D519ROV2PC201.0,1377.9439013281694,0,ROV2,PC,D519,mussel,porewater,517ROV02PC203-0, ROVO2-LPC2-30 ,517ROV02LPC2-40,D517ROV2PC2030,ROV20,6071.7,0.294,0.28,2568,32.4,68.9,-35.03,10.8,-69.54,965.1439025366802
